Region,State
South,Alabama
North,Alaska
West,Arizona
South,Arkansas
West,California
West,Colorado
East,Connecticut
South,Florida
South,Georgia
West,Idaho
Central,Illinois
Central,Indiana
Central,Iowa
Central,Kansas
South,Kentucky
South,Louisiana
East,Maine
East,Maryland
East,Massachusetts
Central,Michigan
Central,Minnesota
Central,Missouri
West,Montana
Central,Nebraska
North,Nevada
East,New Hampshire
East,New Jersey
West,New Mexico
East,New York
South,North Carolina
North,North Dakota
East,Ohio
Central,Oklahoma
West,Oregon
East,Pennsylvania
East,Rhode Island
South,South Carolina
North,South Dakota
South,Tennessee
Central,Texas
West,Utah
East,Vermont
South,Virginia
West,Washington
East,West Virginia
Central,Wisconsin
Central,Wyoming